Campaign,Ad Group,Keyword,Match Type,Max CPC
"Light & Medium Duty Towing","AG1: Emergency Towing — General","tow truck near me","Exact","35"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","[tow truck near me]","Phrase","30"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","tow truck near me","Broad","22"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","emergency towing near me","Exact","38"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","emergency tow truck","Exact","32"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","towing service near me","Exact","28"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","towing company near me","Exact","26"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","24 hour towing near me","Exact","30"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","24 hour towing service","Phrase","26"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","car towing service near me","Phrase","25"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","tow truck service","Phrase","24"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","car broke down need tow","Phrase","20"
"Light & Medium Duty Towing","AG1: Emergency Towing — General","roadside towing","Phrase","18"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed tow truck near me","Exact","32"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing service","Phrase","28"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed tow truck","Phrase","25"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing near me","Exact","30"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed car towing","Phrase","22"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed tow service","Phrase","24"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing San Francisco","Exact","35"
"Light & Medium Duty Towing","AG2: Flatbed Towing","flatbed towing Bay Area","Phrase","30"
"Light & Medium Duty Towing","AG2: Flatbed Towing","AWD towing service","Phrase","28"
"Light & Medium Duty Towing","AG2: Flatbed Towing","all wheel drive tow truck","Phrase","26"
"Light & Medium Duty Towing","AG2: Flatbed Towing","Tesla towing near me","Exact","35"
"Light & Medium Duty Towing","AG2: Flatbed Towing","electric car towing","Phrase","30"
"Light & Medium Duty Towing","AG2: Flatbed Towing","EV towing service","Phrase","30"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","luxury car towing","Exact","40"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","exotic car towing","Exact","45"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","luxury car tow truck","Phrase","36"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Porsche towing","Exact","38"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Ferrari towing","Exact","45"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Lamborghini towing","Exact","45"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","BMW towing service","Phrase","32"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","Mercedes towing service","Phrase","32"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","sports car towing","Phrase","32"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","high value car transport","Phrase","35"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","luxury vehicle transport SF","Phrase","38"
"Light & Medium Duty Towing","AG3: Luxury & Exotic Car Towing","white glove car towing","Phrase","30"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing near me","Exact","28"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle tow truck","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing service","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","bike towing near me","Exact","22"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle breakdown towing","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle transport","Phrase","20"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing San Francisco","Exact","30"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing Oakland","Exact","28"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","motorcycle towing San Jose","Exact","28"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","Harley Davidson towing","Phrase","24"
"Light & Medium Duty Towing","AG4: Motorcycle Towing","moto tow","Phrase","18"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","RV towing near me","Exact","30"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","motorhome towing","Phrase","28"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","RV towing service","Phrase","28"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","RV towing Bay Area","Phrase","30"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","travel trailer towing","Phrase","24"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","camper van towing","Phrase","24"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","motorhome breakdown","Phrase","24"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","Class A motorhome towing","Phrase","30"
"Light & Medium Duty Towing","AG5: RV & Motorhome Towing","RV roadside assistance Bay Area","Phrase","24"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","box truck towing","Exact","32"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","box truck tow near me","Exact","32"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","box truck breakdown","Phrase","26"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","delivery truck towing","Phrase","28"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","commercial van towing","Phrase","26"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","medium duty towing","Phrase","26"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","sprinter van towing","Exact","26"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","box truck towing San Francisco","Phrase","35"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","box truck towing Oakland","Phrase","30"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","box truck towing San Jose","Phrase","30"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","food truck towing","Phrase","24"
"Light & Medium Duty Towing","AG6: Box Truck & Medium Duty","cargo van towing","Phrase","22"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","car accident towing","Exact","32"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","accident tow truck near me","Exact","35"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","towing after accident","Phrase","28"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","car crash towing","Phrase","28"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","accident recovery towing","Phrase","28"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","vehicle accident towing","Phrase","26"
"Light & Medium Duty Towing","AG7: Accident Recovery — Light & Medium","insurance towing","Phrase","22"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck San Francisco","Exact","38"
"Light & Medium Duty Towing","AG8: Location — San Francisco","towing San Francisco","Exact","35"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck SF","Exact","32"
"Light & Medium Duty Towing","AG8: Location — San Francisco","SF towing","Phrase","28"
"Light & Medium Duty Towing","AG8: Location — San Francisco","towing company San Francisco","Phrase","32"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck SOMA","Phrase","32"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck Mission District","Phrase","28"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck Financial District SF","Phrase","36"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck Richmond SF","Phrase","28"
"Light & Medium Duty Towing","AG8: Location — San Francisco","tow truck Sunset District","Phrase","28"
"Light & Medium Duty Towing","AG8: Location — San Francisco","towing Brisbane CA","Phrase","24"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Oakland","Exact","32"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","towing Oakland","Exact","28"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Hayward","Exact","28"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","towing Hayward","Phrase","25"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Berkeley","Exact","28"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","towing Berkeley","Phrase","25"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Fremont","Exact","28"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck San Leandro","Exact","28"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Livermore","Exact","25"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","towing East Bay","Phrase","25"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Pleasanton","Phrase","24"
"Light & Medium Duty Towing","AG9: Location — East Bay & Alameda County","tow truck Union City","Phrase","24"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck San Mateo","Exact","32"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","towing San Mateo","Exact","28"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck Redwood City","Exact","28"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck Daly City","Exact","28"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck Burlingame","Exact","28"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck Menlo Park","Exact","32"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck South San Francisco","Phrase","28"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","towing Peninsula","Phrase","25"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck Millbrae","Phrase","25"
"Light & Medium Duty Towing","AG10: Location — San Mateo & Peninsula","tow truck Half Moon Bay","Phrase","24"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck San Jose","Exact","32"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","towing San Jose","Exact","28"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Santa Clara","Exact","28"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Sunnyvale","Exact","28"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Mountain View","Exact","32"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Palo Alto","Exact","35"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Cupertino","Exact","32"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Milpitas","Phrase","26"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Campbell","Phrase","24"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","towing South Bay","Phrase","26"
"Light & Medium Duty Towing","AG11: Location — South Bay & Santa Clara County","tow truck Silicon Valley","Phrase","28"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","private property towing","Exact","22"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","unauthorized vehicle removal","Phrase","22"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","HOA towing service","Exact","22"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","parking lot towing service","Phrase","20"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","vehicle removal service","Phrase","20"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","private property tow San Francisco","Phrase","24"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","apartment complex towing","Phrase","20"
"Light & Medium Duty Towing","AG12: Private Property & HOA Towing","illegal parking tow","Phrase","20"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck towing","Exact","55"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck towing near me","Exact","58"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","18 wheeler towing","Exact","52"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","big rig towing","Exact","48"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","big rig recovery","Phrase","48"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck breakdown","Phrase","42"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","tractor trailer towing","Exact","50"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi towing service","Phrase","42"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","18 wheeler breakdown","Phrase","40"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck towing Bay Area","Phrase","52"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck towing San Francisco","Exact","55"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck towing Oakland","Exact","50"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","semi truck towing San Jose","Exact","50"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","Class 8 towing","Phrase","45"
"Heavy Duty Towing","AG1: Semi-Truck & 18-Wheeler Towing","heavy duty tow truck near me","Exact","48"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","rotator recovery","Exact","65"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","heavy duty recovery","Phrase","55"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","rollover recovery towing","Exact","60"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","truck rollover recovery","Phrase","55"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","semi rollover recovery","Exact","65"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","heavy wrecker service","Phrase","50"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","complex recovery towing","Phrase","50"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","winch out service","Phrase","38"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","off road vehicle recovery","Phrase","35"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","accident scene towing","Phrase","45"
"Heavy Duty Towing","AG2: Heavy Recovery & Rotator Operations","heavy duty recovery Bay Area","Phrase","55"
"Heavy Duty Towing","AG3: Construction Equipment Transport","construction equipment towing","Exact","55"
"Heavy Duty Towing","AG3: Construction Equipment Transport","construction equipment transport","Phrase","48"
"Heavy Duty Towing","AG3: Construction Equipment Transport","heavy equipment transport","Phrase","48"
"Heavy Duty Towing","AG3: Construction Equipment Transport","excavator towing","Exact","52"
"Heavy Duty Towing","AG3: Construction Equipment Transport","excavator transport Bay Area","Phrase","52"
"Heavy Duty Towing","AG3: Construction Equipment Transport","bulldozer towing","Exact","52"
"Heavy Duty Towing","AG3: Construction Equipment Transport","forklift towing","Exact","40"
"Heavy Duty Towing","AG3: Construction Equipment Transport","forklift transport service","Phrase","38"
"Heavy Duty Towing","AG3: Construction Equipment Transport","machinery transport Bay Area","Phrase","45"
"Heavy Duty Towing","AG3: Construction Equipment Transport","generator transport towing","Phrase","40"
"Heavy Duty Towing","AG3: Construction Equipment Transport","skid steer towing","Exact","45"
"Heavy Duty Towing","AG3: Construction Equipment Transport","agricultural equipment transport","Phrase","40"
"Heavy Duty Towing","AG3: Construction Equipment Transport","lowboy trailer service Bay Area","Phrase","48"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","fleet towing service","Exact","42"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","commercial towing contract","Exact","48"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","fleet towing contract","Phrase","45"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","fleet roadside towing","Phrase","38"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","commercial towing service Bay Area","Phrase","42"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","business towing service","Phrase","35"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","corporate towing service","Phrase","42"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","towing SLA agreement","Phrase","48"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","fleet towing Bay Area","Exact","42"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","commercial vehicle towing service","Phrase","38"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","truck fleet towing","Phrase","40"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","logistics company towing","Phrase","38"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","construction fleet towing","Phrase","40"
"Heavy Duty Towing","AG4: Fleet & Commercial Contracts — B2B","municipality towing service","Phrase","38"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","bus towing service","Exact","48"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","bus towing near me","Exact","48"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","city bus towing","Phrase","42"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","school bus towing","Exact","42"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","coach bus towing","Phrase","42"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","transit vehicle towing","Phrase","38"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","shuttle bus towing","Phrase","38"
"Heavy Duty Towing","AG5: Bus & Transit Vehicle Towing","charter bus towing","Phrase","42"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","interstate towing service","Exact","42"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","long distance towing","Phrase","35"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","long distance towing Bay Area","Phrase","40"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","interstate heavy hauling","Phrase","48"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","heavy equipment interstate transport","Phrase","52"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","cross state towing California","Phrase","38"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","oversize load transport Bay Area","Phrase","52"
"Heavy Duty Towing","AG6: Interstate & Long-Distance Hauling","vehicle transport long distance","Phrase","30"
"Heavy Duty Towing","AG7: Heavy Duty — San Francisco","heavy duty towing San Francisco","Exact","52"
"Heavy Duty Towing","AG7: Heavy Duty — San Francisco","commercial towing San Francisco","Phrase","48"
"Heavy Duty Towing","AG7: Heavy Duty — San Francisco","semi truck towing SF","Phrase","52"
"Heavy Duty Towing","AG7: Heavy Duty — San Francisco","heavy tow truck San Francisco","Phrase","50"
"Heavy Duty Towing","AG7: Heavy Duty — San Francisco","truck towing San Francisco","Phrase","42"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","heavy duty towing Oakland","Exact","50"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","commercial towing Oakland","Phrase","46"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","semi truck towing Oakland","Exact","52"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","heavy duty towing Hayward","Exact","46"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","heavy duty towing East Bay","Phrase","46"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","truck towing Fremont","Phrase","40"
"Heavy Duty Towing","AG8: Heavy Duty — East Bay & Alameda County","commercial towing Hayward","Phrase","40"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","heavy duty towing San Jose","Exact","50"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","commercial towing San Jose","Phrase","46"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","semi truck towing San Jose","Exact","52"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","heavy duty towing Silicon Valley","Phrase","50"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","heavy duty towing Santa Clara","Phrase","46"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","commercial towing Sunnyvale","Phrase","40"
"Heavy Duty Towing","AG9: Heavy Duty — South Bay & Santa Clara County","truck towing Palo Alto","Phrase","46"
"Heavy Duty Towing","AG10: Brand Protection","heavy haulers towing","Exact","12"
"Heavy Duty Towing","AG10: Brand Protection","heavytowpro","Exact","8"
"Heavy Duty Towing","AG10: Brand Protection","heavy tow pro","Exact","8"
"Heavy Duty Towing","AG10: Brand Protection","heavytowpro.com","Exact","8"
"Heavy Duty Towing","AG10: Brand Protection","heavy haulers San Francisco","Phrase","12"
"Heavy Duty Towing","AG10: Brand Protection","heavy haulers Bay Area towing","Phrase","12"
